#Change as you see fit below is just an example
# IP CPANELUSERNAME NEWTEMPPASS

1.2.3.4 user1  0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user2  0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user3  0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user4  0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user5  0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user6  0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user7  0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user8  0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user9  0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user10 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user11 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user12 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user13 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user14 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user15 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user16 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user17 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user18 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user19 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user20 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user21 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user22 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user23 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user24 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user25 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user26 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user27 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user28 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user29 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user30 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user31 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user32 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user33 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user34 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user35 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user36 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user37 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user38 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user39 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user40 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user41 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user42 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
1.2.3.4 user43 0DIY0A1Q34XWZ52PYHZFK4V0XAFE3BZR
